,50%,75%,90%,95%,99%,50%,75%,90%,95%,99%,50%,75%,90%,95%,99%
$10^\circ$,12,10,9,7,4,72,58,34,22,14,27,17,12,9,4
$20^\circ$,4,3,2,1,0,64,56,34,22,14,23,17,10,7,3
$30^\circ$,1,0,0,0,0,52,48,34,20,14,15,11,8,6,3
$40^\circ$,1,0,0,0,0,42,42,27,19,11,3,3,3,2,0
$50^\circ$,0,0,0,0,0,33,33,27,19,5,0,0,0,0,0
