,50%,75%,90%,95%,99%
$10^\circ$,12,10,9,7,4
$20^\circ$,4,3,2,1,0
$30^\circ$,1,0,0,0,0
$40^\circ$,1,0,0,0,0
$50^\circ$,0,0,0,0,0
