,50%,75%,90%,95%,99%
$10^\circ$,72,58,34,22,14
$20^\circ$,64,56,34,22,14
$30^\circ$,52,48,34,20,14
$40^\circ$,42,42,27,19,11
$50^\circ$,33,33,27,19,5
